USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2  50220 42028 ?        Ss   Dec11   2:57 /usr/lib/systemd/systemd --switched-root --system --deserialize=43 rhgb
root         420  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-cnic_wq]
root         421  0.0  0.0      0     0 ?        S<   Dec11   0:00 [bnx2i_thread/0]
root         422  0.0  0.0      0     0 ?        S<   Dec11   0:00 [bnx2i_thread/1]
root         423  0.0  0.0      0     0 ?        S<   Dec11   0:00 [bnx2i_thread/2]
root         424  0.0  0.0      0     0 ?        S<   Dec11   0:00 [bnx2i_thread/3]
root         592  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-nvme-wq]
root         593  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-nvme-reset-wq]
root         594  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-nvme-delete-wq]
root         595  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-nvme-auth-wq]
root         598  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-nvme_tcp_wq]
root         621  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-ata_sff]
root         624  0.0  0.0      0     0 ?        S    Dec11   0:00 [scsi_eh_0]
root         625  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-scsi_tmf_0]
root         626  0.0  0.0      0     0 ?        S    Dec11   0:00 [scsi_eh_1]
root         627  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-scsi_tmf_1]
root         628  0.0  0.0      0     0 ?        S    Dec11   0:00 [scsi_eh_2]
root         629  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-scsi_tmf_2]
root         630  0.0  0.0      0     0 ?        S    Dec11   0:00 [scsi_eh_3]
root         631  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-scsi_tmf_3]
root         632  0.0  0.0      0     0 ?        S    Dec11   0:00 [scsi_eh_4]
root         633  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-scsi_tmf_4]
root         634  0.0  0.0      0     0 ?        S    Dec11   0:00 [scsi_eh_5]
root         635  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-scsi_tmf_5]
root         646  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-ttm]
root         647  0.0  0.0      0     0 ?        S    Dec11   0:00 [card0-crtc0]
root         648  0.0  0.0      0     0 ?        S    Dec11   0:00 [card0-crtc1]
root         677  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfsalloc]
root         678  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs_mru_cache]
root         679  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-buf/sda4]
root         680  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-conv/sda4]
root         681  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-reclaim/sda4]
root         682  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-blockgc/sda4]
root         683  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-inodegc/sda4]
root         684  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-log/sda4]
root         685  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-cil/sda4]
root         686  0.0  0.0      0     0 ?        S    Dec11   0:21 [xfsaild/sda4]
root         769  0.0  0.3  87452 52944 ?        Ss   Dec11   0:52 /usr/lib/systemd/systemd-journald
root         804  0.0  0.0  15864  6176 ?        Ss   Dec11   0:03 /usr/lib/systemd/systemd-userdbd
root         814  0.0  0.0  37184 13012 ?        Ss   Dec11   0:04 /usr/lib/systemd/systemd-udevd
root         862  0.0  0.0      0     0 ?        S    Dec11   0:00 [irq/30-mei_me]
root         909  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-buf/sda3]
root         910  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-conv/sda3]
root         911  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-reclaim/sda3]
root         912  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-blockgc/sda3]
root         913  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-inodegc/sda3]
root         915  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-log/sda3]
root         916  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-cil/sda3]
root         917  0.0  0.0      0     0 ?        S    Dec11   2:27 [xfsaild/sda3]
root         921  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-buf/sda2]
root         922  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-conv/sda2]
root         923  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-reclaim/sda2]
root         924  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-blockgc/sda2]
root         925  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-inodegc/sda2]
root         926  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-log/sda2]
root         927  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xfs-cil/sda2]
root         928  0.0  0.0      0     0 ?        S    Dec11   0:00 [xfsaild/sda2]
root         950  0.0  0.0 101220  3756 ?        S<sl Dec11   0:04 /usr/sbin/auditd
root         952  0.0  0.0   6728  3612 ?        S<   Dec11   0:01 /usr/sbin/sedispatch
dbus         972  0.0  0.0   9028  4300 ?        Ss   Dec11   0:01 /usr/bin/dbus-broker-launch --scope system --audit
